,STATION,LINENAME,DATE,TIME,ENTRIES
0,59 ST,NR,12/19/2015,03:00:00,5997657
1,59 ST,NR,12/19/2015,07:00:00,5997785
2,59 ST,NR,12/19/2015,11:00:00,5998311
3,59 ST,NR,12/19/2015,15:00:00,5998773
4,59 ST,NR,12/19/2015,19:00:00,5999220
5,59 ST,NR,12/19/2015,23:00:00,5999462
6,59 ST,NR,12/20/2015,03:00:00,5999512
7,59 ST,NR,12/20/2015,07:00:00,5999611
8,59 ST,NR,12/20/2015,11:00:00,6000036
9,59 ST,NR,12/20/2015,15:00:00,6000549
10,59 ST,NR,12/20/2015,19:00:00,6000922
11,59 ST,NR,12/20/2015,23:00:00,6001075
12,59 ST,NR,12/21/2015,03:00:00,6001109
13,59 ST,NR,12/21/2015,07:00:00,6001382
14,59 ST,NR,12/21/2015,07:46:22,6001663
15,59 ST,NR,12/21/2015,07:52:06,6001697
16,59 ST,NR,12/21/2015,11:00:00,6002461
17,59 ST,NR,12/21/2015,15:00:00,6002889
18,59 ST,NR,12/21/2015,15:44:13,6002963
19,59 ST,NR,12/21/2015,19:00:00,6003456
20,59 ST,NR,12/21/2015,23:00:00,6003682
21,59 ST,NR,12/22/2015,03:00:00,6003708
22,59 ST,NR,12/22/2015,07:00:00,6004011
23,59 ST,NR,12/22/2015,11:00:00,6005085
24,59 ST,NR,12/22/2015,15:00:00,6005490
25,59 ST,NR,12/22/2015,19:00:00,6006092
26,59 ST,NR,12/22/2015,23:00:00,6006325
27,59 ST,NR,12/23/2015,03:00:00,6006361
28,59 ST,NR,12/23/2015,07:00:00,6006651
29,59 ST,NR,12/23/2015,11:00:00,6007664
30,59 ST,NR,12/23/2015,15:00:00,6008108
31,59 ST,NR,12/23/2015,19:00:00,6008630
32,59 ST,NR,12/23/2015,23:00:00,6008857
33,59 ST,NR,12/24/2015,03:00:00,6008897
34,59 ST,NR,12/24/2015,07:00:00,6009124
35,59 ST,NR,12/24/2015,11:00:00,6009838
36,59 ST,NR,12/24/2015,15:00:00,6010301
37,59 ST,NR,12/24/2015,19:00:00,6010759
38,59 ST,NR,12/24/2015,23:00:00,6010989
39,59 ST,NR,12/25/2015,03:00:00,6011037
